Título,Lançamento,Autor,Gênero,Sexo
"Senhora",1875,José de Alencar,Romance,M
"Sou um Gato",1905,Natsume Soseki,Sátira,M
"São Bernardo",1934,Graciliano Ramos,Romance,M
"Todos os Nomes",1997,José Saramago,Romance,M
"Ubirajara",1874,José de Alencar,Romance,M
"Ulisses",1922,James Joyce,Romance,M
"Um Conto de Duas Cidades",1859,Charles Dickens,Romance,M
"Viagem ao Centro da Terra",1864,Júlio Verne,Aventura,M
"Vidas Secas",1938,Graciliano Ramos,Romance,M
"Vinte Mil Léguas Submarinas",1870,Júlio Verne,Aventura,M
"Zadig",1747,Voltaire,Conto,M
"Água Viva",1973,Clarice Lispector,Ficção,F
"1984",1949,George Orwell,Ficção Científica,M
"2001: Uma Odisseia no Espaço",1968,Arthur C. Clarke,Ficção Científica,M
"O Leão, a Feiticeira e o Guarda-Roupa",1950,C. S. Lewis,Fantasia,M
"Praticamente Inofensiva, e Outras Histórias",1992,Douglas Adams,Ficção Científica,M
